"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"1115","38.602228491","127.0.0.1","127.0.0.1","TCP","66","47812  >  8080 [ACK] Seq=5711 Ack=6063 Win=75520 Len=0 TSval=514792959 TSecr=514792930","47812","8080"
"1116","38.605544765","127.0.0.1","127.0.0.1","TCP","1322","8080  >  47918 [PSH, ACK] Seq=8555 Ack=5422 Win=85248 Len=1256 TSval=514792962 TSecr=514792958","8080","47918"
"1117","38.606706784","127.0.0.1","127.0.0.1","TCP","651","47810  >  8080 [PSH, ACK] Seq=5163 Ack=6131 Win=75520 Len=585 TSval=514792964 TSecr=514792954","47810","8080"
"1118","38.606956187","127.0.0.1","127.0.0.1","TCP","688","8080  >  47802 [PSH, ACK] Seq=6845 Ack=5347 Win=85120 Len=622 TSval=514792964 TSecr=514792934","8080","47802"
"1119","38.606995927","127.0.0.1","127.0.0.1","TCP","66","47802  >  8080 [ACK] Seq=5347 Ack=7467 Win=75392 Len=0 TSval=514792964 TSecr=514792964","47802","8080"
"1120","38.608130848","127.0.0.1","127.0.0.1","TCP","658","8080  >  47848 [PSH, ACK] Seq=6171 Ack=5419 Win=85120 Len=592 TSval=514792965 TSecr=514792932","8080","47848"
"1121","38.608656054","127.0.0.1","127.0.0.1","TCP","615","47870  >  8080 [PSH, ACK] Seq=5068 Ack=6137 Win=74112 Len=549 TSval=514792965 TSecr=514792954","47870","8080"
"1122","38.609092003","127.0.0.1","127.0.0.1","TCP","585","47900  >  8080 [PSH, ACK] Seq=4936 Ack=6131 Win=75520 Len=519 TSval=514792966 TSecr=514792954","47900","8080"
"1123","38.609363826","127.0.0.1","127.0.0.1","TCP","624","8080  >  47898 [PSH, ACK] Seq=4423 Ack=5544 Win=84608 Len=558 TSval=514792966 TSecr=514792958","8080","47898"
"1124","38.610717000","127.0.0.1","127.0.0.1","TCP","66","8080  >  47828 [ACK] Seq=6183 Ack=5396 Win=85120 Len=0 TSval=514792968 TSecr=514792927","8080","47828"
"1125","38.610837756","127.0.0.1","127.0.0.1","TCP","656","8080  >  47802 [PSH, ACK] Seq=7467 Ack=5347 Win=85120 Len=590 TSval=514792968 TSecr=514792964","8080","47802"
"1126","38.610873584","127.0.0.1","127.0.0.1","TCP","66","47802  >  8080 [ACK] Seq=5347 Ack=8057 Win=75392 Len=0 TSval=514792968 TSecr=514792968","47802","8080"
"1127","38.612543210","127.0.0.1","127.0.0.1","TCP","622","8080  >  47828 [PSH, ACK] Seq=6183 Ack=5396 Win=85120 Len=556 TSval=514792969 TSecr=514792927","8080","47828"
"1128","38.617142747","127.0.0.1","127.0.0.1","TCP","592","8080  >  47848 [PSH, ACK] Seq=6763 Ack=5419 Win=85120 Len=526 TSval=514792974 TSecr=514792932","8080","47848"
"1129","38.617401858","127.0.0.1","127.0.0.1","TCP","66","47848  >  8080 [ACK] Seq=5419 Ack=7289 Win=75520 Len=0 TSval=514792974 TSecr=514792965","47848","8080"
"1130","38.628677453","127.0.0.1","127.0.0.1","TCP","66","8080  >  47746 [ACK] Seq=7215 Ack=5585 Win=85120 Len=0 TSval=514792986 TSecr=514792945","8080","47746"
"1131","38.631624266","127.0.0.1","127.0.0.1","TCP","66","8080  >  47904 [ACK] Seq=9161 Ack=5606 Win=85120 Len=0 TSval=514792989 TSecr=514792948","8080","47904"
"1132","38.633605524","127.0.0.1","127.0.0.1","TCP","66","8080  >  47926 [ACK] Seq=5669 Ack=5709 Win=84480 Len=0 TSval=514792991 TSecr=514792950","8080","47926"
"1133","38.636617080","127.0.0.1","127.0.0.1","TCP","66","8080  >  47782 [ACK] Seq=5361 Ack=5340 Win=85120 Len=0 TSval=514792994 TSecr=514792953","8080","47782"
"1134","38.640626598","127.0.0.1","127.0.0.1","TCP","66","8080  >  47886 [ACK] Seq=6691 Ack=5617 Win=85120 Len=0 TSval=514792998 TSecr=514792957","8080","47886"
"1135","38.642607855","127.0.0.1","127.0.0.1","TCP","66","8080  >  47832 [ACK] Seq=7239 Ack=5386 Win=85248 Len=0 TSval=514793000 TSecr=514792959","8080","47832"
"1136","38.646611506","127.0.0.1","127.0.0.1","TCP","66","47918  >  8080 [ACK] Seq=5422 Ack=9811 Win=75520 Len=0 TSval=514793004 TSecr=514792962","47918","8080"
"1137","38.647638942","127.0.0.1","127.0.0.1","TCP","66","8080  >  47810 [ACK] Seq=6131 Ack=5748 Win=85120 Len=0 TSval=514793005 TSecr=514792964","8080","47810"
"1138","38.649620618","127.0.0.1","127.0.0.1","TCP","66","8080  >  47870 [ACK] Seq=6137 Ack=5617 Win=85120 Len=0 TSval=514793007 TSecr=514792965","8080","47870"
"1139","38.649626904","127.0.0.1","127.0.0.1","TCP","66","8080  >  47900 [ACK] Seq=6131 Ack=5455 Win=85120 Len=0 TSval=514793007 TSecr=514792966","8080","47900"
"1140","38.649635913","127.0.0.1","127.0.0.1","TCP","66","47898  >  8080 [ACK] Seq=5544 Ack=4981 Win=75520 Len=0 TSval=514793007 TSecr=514792966","47898","8080"
"1141","38.653608415","127.0.0.1","127.0.0.1","TCP","66","47828  >  8080 [ACK] Seq=5396 Ack=6739 Win=75520 Len=0 TSval=514793011 TSecr=514792969","47828","8080"
