"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"9471","8.103633671","127.0.0.1","127.0.0.1","TCP","66","60278  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449048413 TSecr=449048413","60278","4444"
"9496","8.175139946","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60174","4444"
"9516","8.180234896","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60174"
"9517","8.180259131","127.0.0.1","127.0.0.1","TCP","66","60174  >  4444 [ACK] Seq=1026 Ack=376 Win=630 Len=0 TSval=449048490 TSecr=449048490","60174","4444"
"9520","8.184551331","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","59874","4444"
"9539","8.188116351","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60150","4444"
"9544","8.189111860","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","59874"
"9545","8.189134908","127.0.0.1","127.0.0.1","TCP","66","59874  >  4444 [ACK] Seq=616 Ack=226 Win=630 Len=0 TSval=449048499 TSecr=449048499","59874","4444"
"9547","8.189402816","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42954","4444"
"9577","8.193151796","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60150"
